"id","country","geolocation","level","adm1","location","disastertype","continent"
301,"Nepal","27.610540, 87.821660",3,"east","taplejung","flood","Asia"
302,"Nepal","27.156340, 86.680770",3,"east","khotang","flood","Asia"
303,"Nepal","27.313639, 86.500557",3,"east","okhaldhunga","flood","Asia"
304,"Nepal","27.725790, 86.781690",3,"east","solukhumbu","flood","Asia"
305,"Nepal","29.555139, 80.421890",3,"far-western","baitadi","flood","Asia"
306,"Nepal","29.830000, 80.550000",3,"far-western","darchula","flood","Asia"
307,"Nepal","27.863972, 84.914497",3,"central","dhading","flood","Asia"
308,"Nepal","28.095810, 83.329320",3,"west","gulmi","flood","Asia"
309,"Nepal","27.566420, 83.068380",3,"west","kapalvastu","flood","Asia"
310,"Nepal","27.437060, 85.053580",3,"central","makawanpur","flood","Asia"
311,"Nepal","28.176370, 85.482270",3,"central","rasuwa","flood","Asia"
312,"Nepal","26.988980, 85.283080",3,"central","rautahar","flood","Asia"
313,"Nepal","27.549220, 83.403350",3,"west","rupandehi","flood","Asia"
314,"Nepal","29.555139, 80.421890",3,"far-western","baitadi","flood","Asia"
